ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,3.919525577513109e+33,3.477104563516403e+33,3.87032611727266e+33,3.648516965720194e+33,3.5794654457217573e+33,3.862934870372918e+33,4.3057777675440155e+33,3.668806788689981e+33,4.021412409093811e+33,3.6077953310273506e+33,3.909513037653982e+33,3.9154937905004306e+33,3.189709310475571e+33,2.848513103710613e+33,3.434362653073277e+33,2.3999507747089178e+33,3.0409145685154333e+33,3.064531968676167e+33,3.288688724749503e+33,3.27448859287688e+33,2.3718783935402724e+33
BDI,Burundi,9.31349292973135e+30,4.6670808279895106e+30,5.029267021104636e+30,5.97532352927858e+30,5.074854089635095e+30,1.0434485697263006e+31,2.487294777154168e+30,4.3035579474913604e+30,6.333257737070024e+30,5.339134891344883e+30,9.147410684516484e+30,9.152810684238859e+30,3.2760932439330115e+30,2.725754102911435e+30,4.3771058797414123e+30,3.617584315424992e+30,3.2778707231760745e+30,3.908251555754514e+30,4.3922473837886426e+30,6.745719375435859e+30,3.6192254846347e+30
BEN,Benin,2.2859595095200327e+32,1.8224210380060466e+32,2.1259260998635815e+32,2.1567557043967206e+32,1.8832184842158828e+32,1.6224029783907837e+32,1.5586638950356173e+32,1.5137037977818309e+32,1.4036684911236197e+32,1.3260000782917368e+32,1.0499701699010667e+32,1.2577333427729838e+32,1.0153868916931487e+32,9.675173129281345e+31,9.157392061898531e+31,8.303384595941742e+31,8.412171954129429e+31,8.24264187346858e+31,5.395766475609824e+31,6.1279282178245725e+31,5.907652008598198e+31
BFA,Burkina Faso,1.968404206972046e+32,1.6021159492214769e+32,1.538796099405225e+32,1.584993183056953e+32,1.653795329768659e+32,1.9409542030086857e+32,1.6897753545557235e+32,1.2254787619746795e+32,1.3412960797352203e+32,1.1070779717500616e+32,9.157090673661126e+31,1.2720161206650948e+32,1.1134619433835054e+32,8.595431264865728e+31,8.429183257704402e+31,8.023730903643762e+31,8.331918397976683e+31,6.867456515110592e+31,9.710999251935016e+31,1.4631909107192618e+32,1.1159556344913573e+32
BWA,Botswana,1.3427828199615537e+32,2.2186335866407753e+32,1.4425947929468426e+32,4.9900337802601216e+32,1.1156860687348096e+32,7.836209451410377e+32,9.100907006115822e+32,2.7386754106993158e+32,2.409777738983422e+32,1.4079021296155177e+32,1.4850677228555957e+32,9.849612986439054e+31,2.007224451921896e+32,1.5010222494285005e+32,1.2326424347258397e+32,1.1864790203349017e+32,4.846625835155705e+32,4.4702454520988165e+32,6.2543964900853974e+32,1.266533943227066e+32,8.898445623230664e+31
CAF,Central African Rep.,1.9538511531145034e+33,1.7368047240457663e+33,1.8473191516144895e+33,2.1466758741024003e+33,1.327336378744086e+33,1.42464548869969e+33,1.7035960552426636e+33,1.312123473395106e+33,1.3550638844948608e+33,1.548324098621812e+33,1.6275061462654842e+33,1.7852044559904138e+33,1.2408914854581191e+33,1.3702695743367688e+33,1.024091880082931e+33,1.2391808722784551e+33,1.1316617345708782e+33,1.1539386921068995e+33,9.172745146683112e+32,8.86280955656436e+32,7.442220796551558e+32
CIV,Côte d'Ivoire,4.2661191539782044e+32,4.087972002498955e+32,4.127786042998569e+32,4.688482216910134e+32,3.6796846042045306e+32,3.0756114152040567e+32,3.696548431816977e+32,3.090145925834194e+32,3.491116938420609e+32,2.2050458886884064e+32,2.3157508061215304e+32,2.8607263980316847e+32,1.6821683178148796e+32,1.5757702335270436e+32,1.4256051238143444e+32,1.6034249552549362e+32,1.1259529755938783e+32,1.3135637025183602e+32,9.972217020999748e+31,1.5455834175650425e+32,9.262955351735607e+31
CMR,Cameroon,5.107438598768625e+32,4.050731555968013e+32,5.57679933792391e+32,4.869001046673766e+32,3.8956945321683456e+32,4.069220640974645e+32,3.883432213743602e+32,3.349956260414437e+32,3.2728356311515764e+32,3.3400898888056425e+32,3.0796942584980545e+32,4.185848869838799e+32,3.0858012371468916e+32,2.5957739157412312e+32,2.600034749223224e+32,3.2210713803182934e+32,3.321354161721729e+32,2.7561866991180888e+32,3.124091298070948e+32,2.5425513146015806e+32,3.344483011816702e+32
COD,Dem. Rep. Congo,5.105937436090226e+33,5.230438037405811e+33,4.6941338409367376e+33,4.879214460123452e+33,4.940999577188141e+33,5.12264584700112e+33,4.912340080273976e+33,4.563176506542081e+33,5.099657214807692e+33,4.781605019154194e+33,5.152312608842514e+33,5.986616756304372e+33,4.32796800087179e+33,4.366798524921079e+33,4.215609338636394e+33,4.2055603816350867e+33,4.519028307923897e+33,4.603278947398568e+33,4.012789744188434e+33,4.0055695897941003e+33,3.320772255890445e+33
COG,Congo,2.166786117475024e+32,2.032892342501591e+32,1.8139338975430387e+32,2.057341195639488e+32,2.002818433863529e+32,2.3188541661882666e+32,2.5136899885865508e+32,2.0219031625260508e+32,2.404278272313335e+32,1.774326875324477e+32,1.9819666195286674e+32,2.5120628335875678e+32,1.549341586151758e+32,1.9385755222111107e+32,1.6075965205933282e+32,1.6189026797370796e+32,1.9001317116195942e+32,2.0147553334702655e+32,1.572778243762602e+32,2.246055395230752e+32,1.784202423825744e+32
COM,Comoros,6.739191909544835e+30,1.5889106167479651e+31,6.3319081082349684e+29,9.49246329682747e+29,2.430643229101815e+29,5.0936975042183326e+29,1.693789980878185e+29,4.657582608077074e+29,3.182981017081638e+29,4.4366992785694516e+29,3.766983554142989e+29,1.5799407157987144e+29,1.6524757804895857e+29,4.0007694276745464e+29,2.6131453391921976e+29,1.4642846480813817e+29,1.629469880284547e+29,1.168889591623937e+29,9.527659967516957e+28,5.9285021134903736e+29,7.932896068388162e+28
CPV,Cabo Verde,0.0,2.514786584308907e+28,0.0,2.2903455243270816e+28,0.0,0.0,0.0,4.4767520139008275e+27,0.0,4.845675458823433e+29,0.0,0.0,5.5304687377213714e+28,3.850809109075585e+29,2.1258702991140872e+29,0.0,4.329393670400625e+27,1.1026539745651711e+29,5.364289416306393e+28,4.4184487266971187e+27,3.9105820359532904e+28
ERI,Eritrea,2.2743433408455696e+30,2.580993975780093e+30,5.842288190254679e+30,5.627355627423215e+30,2.199235748306517e+30,3.7043382075787887e+30,1.1273231312887332e+32,2.549694355862478e+30,1.928700283328801e+30,3.067411717918491e+30,3.1200326126310776e+30,1.9514432452892326e+30,2.3087681749143447e+30,2.579798204040449e+30,3.6049745225202284e+30,6.137897876554504e+30,5.483508180722035e+30,4.5846946556737533e+30,5.99886658426604e+30,3.49050472363185e+30,4.9403969539066305e+30
ETH,Ethiopia,6.833386332512268e+32,5.231615105304783e+32,6.767949758816656e+32,6.821636942394047e+32,5.988733620757868e+32,4.555464205040392e+32,5.533664310848784e+32,5.728432531084807e+32,5.570232762094775e+32,4.7425904945175406e+32,5.858329220306223e+32,5.922031705556697e+32,5.1551068116562995e+32,4.864186286170647e+32,3.778707372936587e+32,3.4230195807924914e+32,4.0857098656165406e+32,2.9920996428129775e+32,3.5951515947824215e+32,3.327308223260091e+32,4.2143544139928606e+32
GAB,Gabon,2.3450014622102496e+31,1.9380746674080544e+31,1.8467183144723782e+31,2.239113726652738e+31,1.3173495571658103e+31,2.2054887458951728e+31,2.668761815786651e+31,2.1678946692629174e+31,2.3472971569682884e+31,1.8483145898232136e+31,1.8323155579906368e+31,2.42438674115854e+31,1.6333577447109512e+31,1.842139946966897e+31,1.628824657085672e+31,2.0060956832021234e+31,1.7368656299840352e+31,1.8310021202263605e+31,1.525725426376476e+31,2.078279150902661e+31,1.8726983714047324e+31
GHA,Ghana,5.9321248711323815e+32,5.1391156773569785e+32,4.8530775974178244e+32,5.352194365493723e+32,5.118275844006546e+32,4.716107487537842e+32,6.124019230303988e+32,4.1278884292397254e+32,4.7252248541834625e+32,4.1388532314878435e+32,4.701131406257188e+32,4.2586206149380194e+32,4.123903573794047e+32,3.6126837004216e+32,3.538648662733301e+32,4.150817096649262e+32,2.63489864659872e+32,3.671283465001344e+32,2.4315914220996418e+32,3.1883984224134648e+32,2.0894180787609836e+32
