ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,2.799661126795078e+33,2.483646116797431e+33,2.764518655194757e+33,2.6060835469429957e+33,2.556761032658398e+33,2.759239193123513e+33,3.075555548245725e+33,2.6205762776357007e+33,2.8724374350670084e+33,2.576996665019536e+33,2.792509312609987e+33,2.7967812789288795e+33,2.2783637931968362e+33,2.0346522169361522e+33,2.453116180766627e+33,1.7142505533635125e+33,2.1720818346538802e+33,2.1889514061972622e+33,2.3490633748210736e+33,2.3389204234834854e+33,1.6941988525287657e+33
BDI,Burundi,6.652494949808108e+30,3.3336291628496505e+30,3.5923335865033117e+30,4.2680882351989857e+30,3.624895778310781e+30,7.453204069473577e+30,1.776639126538691e+30,3.0739699624938287e+30,4.5237555264785893e+30,3.8136677795320587e+30,6.533864774654631e+30,6.537721917313472e+30,2.3400666028092936e+30,1.946967216365311e+30,3.126504199815295e+30,2.5839887967321375e+30,2.3413362308400534e+30,2.791608254110367e+30,3.13731955984903e+30,4.818370982454186e+30,2.5851610604533575e+30
BEN,Benin,1.6328282210857378e+32,1.301729312861462e+32,1.518518642759701e+32,1.540539788854801e+32,1.345156060154202e+32,1.1588592702791315e+32,1.1133313535968694e+32,1.0812169984155934e+32,1.0026203508025859e+32,9.47142913065526e+31,7.499786927864764e+31,8.983809591235599e+31,7.252763512093918e+31,6.910837949486675e+31,6.540994329927521e+31,5.930988997101244e+31,6.0086942529495925e+31,5.887601338191845e+31,3.8541189111498753e+31,4.377091584160409e+31,4.219751434712999e+31
BFA,Burkina Faso,1.4060030049800328e+32,1.1443685351581977e+32,1.0991400710037321e+32,1.1321379878978236e+32,1.181282378406185e+32,1.3863958592919184e+32,1.2069823961112311e+32,8.75341972839057e+31,9.580686283823004e+31,7.907699798214727e+31,6.54077905261509e+31,9.085829433322105e+31,7.953299595596468e+31,6.139593760618379e+31,6.020845184074574e+31,5.731236359745545e+31,5.95137028426906e+31,4.905326082221852e+31,6.936428037096439e+31,1.0451363647994725e+32,7.971111674938266e+31
BWA,Botswana,9.591305856868242e+31,1.5847382761719825e+32,1.0304248521048877e+32,3.564309843042945e+32,7.96918620524864e+31,5.597292465293126e+32,6.500647861511303e+32,1.9561967219280817e+32,1.721269813559587e+32,1.0056443782967984e+32,1.0607626591825684e+32,7.035437847456468e+31,1.433731751372783e+32,1.0721587495917861e+32,8.804588819470283e+31,8.474850145249297e+31,3.4618755965397895e+32,3.1930324657848692e+32,4.467426064346712e+32,9.046671023050474e+31,6.356032588021905e+31
CAF,Central African Rep.,1.3956079665103594e+33,1.2405748028898335e+33,1.3195136797246355e+33,1.5333399100731433e+33,9.480974133886329e+32,1.017603920499779e+33,1.216854325173331e+33,9.372310524250759e+32,9.679027746391863e+32,1.1059457847298657e+33,1.1625043901896312e+33,1.2751460399931527e+33,8.863510610415138e+32,9.787639816691204e+32,7.314942000592364e+32,8.851291944846109e+32,8.083298104077702e+32,8.242419229334996e+32,6.551960819059365e+32,6.330578254688829e+32,5.315871997536828e+32
CIV,Côte d'Ivoire,3.0472279671272887e+32,2.919980001784968e+32,2.9484186021418353e+32,3.348915869221525e+32,2.6283461458603793e+32,2.196865296574326e+32,2.640391737012126e+32,2.2072470898815677e+32,2.493654956014721e+32,1.5750327776345764e+32,1.654107718658236e+32,2.0433759985940603e+32,1.2015487984392e+32,1.1255501668050312e+32,1.0182893741531029e+32,1.1453035394678115e+32,8.042521254241988e+31,9.382597875131144e+31,7.123012157856962e+31,1.1039881554036018e+32,6.616396679811148e+31
CMR,Cameroon,3.648170427691875e+32,2.8933796828342947e+32,3.983428098517079e+32,3.477857890481262e+32,2.782638951548819e+32,2.9065861721247462e+32,2.7738801526740017e+32,2.3928259002960274e+32,2.337739736536841e+32,2.3857784920040305e+32,2.1997816132128967e+32,2.989892049884857e+32,2.204143740819208e+32,1.8541242255294505e+32,1.857167678016589e+32,2.3007652716559237e+32,2.3723958298012357e+32,1.9687047850843494e+32,2.2314937843363914e+32,1.8161080818582722e+32,2.3889164370119297e+32
COD,Dem. Rep. Congo,3.6470981686358765e+33,3.7360271695755787e+33,3.352952743526241e+33,3.485153185802466e+33,3.529285412277244e+33,3.659032747857943e+33,3.50881434305284e+33,3.2594117903872e+33,3.642612296291208e+33,3.415432156538711e+33,3.6802232920303674e+33,4.276154825931695e+33,3.0914057149084213e+33,3.1191418035150566e+33,3.011149527597425e+33,3.00397170116792e+33,3.2278773628027836e+33,3.2880563909989776e+33,2.8662783887060247e+33,2.861121135567216e+33,2.3719801827788898e+33
COG,Congo,1.5477043696250175e+32,1.4520659589297079e+32,1.2956670696735993e+32,1.469529425456777e+32,1.4305845956168062e+32,1.6563244044201908e+32,1.7954928489903938e+32,1.4442165446614649e+32,1.7173416230809534e+32,1.2673763395174836e+32,1.4156904425204767e+32,1.794330595419691e+32,1.1066725615369699e+32,1.384696801579365e+32,1.1482832289952344e+32,1.156359056955057e+32,1.3572369368711388e+32,1.4391109524787612e+32,1.1234130312590015e+32,1.6043252823076798e+32,1.2744303027326742e+32
