ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,2.2397289014360634e+33,1.9869168934379446e+33,2.2116149241558058e+33,2.0848668375543968e+33,2.0454088261267184e+33,2.2073913544988105e+33,2.4604444385965803e+33,2.0964610221085606e+33,2.2979499480536068e+33,2.0615973320156287e+33,2.2340074500879906e+33,2.2374250231431038e+33,1.8226910345574691e+33,1.6277217735489216e+33,1.9624929446133012e+33,1.3714004426908103e+33,1.7376654677231044e+33,1.7511611249578097e+33,1.8792506998568585e+33,1.8711363387867886e+33,1.3553590820230127e+33
BDI,Burundi,5.321995959846487e+30,2.666903330279721e+30,2.873866869202649e+30,3.4144705881591883e+30,2.899916622648625e+30,5.962563255578862e+30,1.421311301230953e+30,2.4591759699950634e+30,3.619004421182871e+30,3.0509342236256474e+30,5.227091819723707e+30,5.230177533850777e+30,1.8720532822474352e+30,1.5575737730922488e+30,2.5012033598522359e+30,2.06719103738571e+30,1.8730689846720427e+30,2.233286603288294e+30,2.5098556478792244e+30,3.854696785963349e+30,2.0681288483626859e+30
BEN,Benin,1.3062625768685903e+32,1.0413834502891694e+32,1.2148149142077608e+32,1.2324318310838407e+32,1.0761248481233617e+32,9.270874162233051e+31,8.906650828774959e+31,8.649735987324748e+31,8.020962806420686e+31,7.577143304524211e+31,5.99982954229181e+31,7.18704767298848e+31,5.802210809675136e+31,5.528670359589341e+31,5.2327954639420185e+31,4.7447911976809965e+31,4.806955402359674e+31,4.710081070553475e+31,3.0832951289198997e+31,3.501673267328327e+31,3.3758011477703986e+31
BFA,Burkina Faso,1.1248024039840262e+32,9.154948281265581e+31,8.793120568029857e+31,9.05710390318259e+31,9.450259027249482e+31,1.1091166874335348e+32,9.65585916888985e+31,7.002735782712455e+31,7.664549027058403e+31,6.326159838571781e+31,5.232623242092073e+31,7.268663546657686e+31,6.362639676477174e+31,4.911675008494703e+31,4.81667614725966e+31,4.584989087796437e+31,4.761096227415247e+31,3.924260865777482e+31,5.549142429677151e+31,8.361090918395781e+31,6.376889339950613e+31
BWA,Botswana,7.673044685494595e+31,1.2677906209375861e+32,8.243398816839101e+31,2.851447874434356e+32,6.375348964198913e+31,4.477833972234501e+32,5.200518289209042e+32,1.5649573775424662e+32,1.3770158508476698e+32,8.045155026374388e+31,8.486101273460548e+31,5.628350277965174e+31,1.1469854010982263e+32,8.57726999673429e+31,7.043671055576227e+31,6.779880116199438e+31,2.7695004772318318e+32,2.554425972627896e+32,3.573940851477369e+32,7.23733681844038e+31,5.0848260704175225e+31
CAF,Central African Rep.,1.1164863732082875e+33,9.924598423118668e+32,1.0556109437797086e+33,1.2266719280585144e+33,7.584779307109062e+32,8.140831363998232e+32,9.73483460138665e+32,7.497848419400607e+32,7.743222197113491e+32,8.847566277838926e+32,9.300035121517052e+32,1.0201168319945221e+33,7.090808488332112e+32,7.830111853352965e+32,5.851953600473892e+32,7.081033555876886e+32,6.466638483262162e+32,6.593935383467997e+32,5.241568655247493e+32,5.064462603751064e+32,4.252697598029461e+32
CIV,Côte d'Ivoire,2.4377823737018313e+32,2.3359840014279743e+32,2.3587348817134683e+32,2.67913269537722e+32,2.1026769166883037e+32,1.757492237259461e+32,2.1123133896097012e+32,1.765797671905254e+32,1.994923964811777e+32,1.2600262221076611e+32,1.323286174926589e+32,1.6347007988752484e+32,9.612390387513602e+31,9.00440133444025e+31,8.146314993224824e+31,9.162428315742494e+31,6.43401700339359e+31,7.506078300104915e+31,5.69840972628557e+31,8.831905243228815e+31,5.29311734384892e+31
CMR,Cameroon,2.9185363421535004e+32,2.314703746267436e+32,3.1867424788136625e+32,2.7822863123850095e+32,2.2261111612390547e+32,2.3252689376997973e+32,2.2191041221392016e+32,1.9142607202368217e+32,1.870191789229473e+32,1.908622793603224e+32,1.759825290570317e+32,2.3919136399078853e+32,1.7633149926553666e+32,1.4832993804235603e+32,1.4857341424132712e+32,1.8406122173247393e+32,1.8979166638409886e+32,1.5749638280674796e+32,1.7851950274691133e+32,1.4528864654866175e+32,1.9111331496095442e+32
COD,Dem. Rep. Congo,2.917678534908701e+33,2.9888217356604635e+33,2.682362194820993e+33,2.788122548641973e+33,2.823428329821795e+33,2.9272261982863544e+33,2.807051474442272e+33,2.607529432309761e+33,2.914089837032967e+33,2.732345725230969e+33,2.944178633624294e+33,3.4209238607453544e+33,2.473124571926737e+33,2.4953134428120454e+33,2.40891962207794e+33,2.4031773609343367e+33,2.5823018902422273e+33,2.6304451127991823e+33,2.2930227109648203e+33,2.2888969084537723e+33,1.8975841462231113e+33
COG,Congo,1.2381634957000137e+32,1.1616527671437664e+32,1.0365336557388794e+32,1.1756235403654218e+32,1.1444676764934453e+32,1.3250595235361527e+32,1.436394279192315e+32,1.1553732357291723e+32,1.3738732984647628e+32,1.0139010716139875e+32,1.1325523540163814e+32,1.4354644763357532e+32,8.853380492295762e+31,1.1077574412634917e+32,9.186265831961878e+31,9.250872455640457e+31,1.0857895494969111e+32,1.1512887619830088e+32,8.987304250072014e+31,1.2834602258461435e+32,1.0195442421861394e+32
COM,Comoros,3.850966805454192e+30,9.079489238559802e+30,3.618233204705696e+29,5.424264741044268e+29,1.38893898805818e+29,2.9106842881247622e+29,9.678799890732487e+28,2.6614757760440426e+29,1.8188462954752216e+29,2.5352567306111157e+29,2.1525620309388512e+29,9.02823266170694e+28,9.442718745654776e+28,2.2861539586711698e+29,1.4932259081098273e+29,8.367340846179326e+28,9.311256458768841e+28,6.679369094993927e+28,5.4443771242954045e+28,3.387715493423071e+29,4.533083467650379e+28
CPV,Cabo Verde,0.0,1.4370209053193758e+28,0.0,1.3087688710440467e+28,0.0,0.0,0.0,2.55814400794333e+27,0.0,2.7689574050419616e+29,0.0,0.0,3.160267850126498e+28,2.2004623480431918e+29,1.2147830280651928e+29,0.0,2.4739392402289285e+27,6.300879854658121e+28,3.065308237889368e+28,2.5248278438269255e+27,2.2346183062590233e+28
ERI,Eritrea,1.2996247661974684e+30,1.474853700445768e+30,3.338450394431245e+30,3.2156317870989804e+30,1.2567061418894384e+30,2.1167646900450222e+30,6.441846464507049e+31,1.456968203349988e+30,1.1021144476164574e+30,1.7528066959534237e+30,1.7828757786463304e+30,1.1151104258795617e+30,1.3192960999510542e+30,1.4741704023088278e+30,2.059985441440131e+30,3.507370215174002e+30,3.133433246126878e+30,2.6198255175278595e+30,3.427923762437738e+30,1.994574127789629e+30,2.8230839736609325e+30
ETH,Ethiopia,3.9047921900070104e+32,2.989494345888447e+32,3.867399862180947e+32,3.898078252796599e+32,3.422133497575925e+32,2.6031224028802236e+32,3.1620938919135915e+32,3.273390017762747e+32,3.182990149768443e+32,2.7100517111528804e+32,3.3476166973178415e+32,3.38401811746097e+32,2.9457753209464567e+32,2.779535020668941e+32,2.1592613559637643e+32,1.9560111890242802e+32,2.3346913517808804e+32,1.709771224464559e+32,2.0543723398756696e+32,1.9013189847200524e+32,2.408202522281635e+32
GAB,Gabon,1.3400008355487142e+31,1.1074712385188884e+31,1.0552676082699304e+31,1.2794935580872792e+31,7.527711755233204e+30,1.2602792833686704e+31,1.5250067518780867e+31,1.2387969538645246e+31,1.3413126611247364e+31,1.056179765613265e+31,1.0470374617089356e+31,1.3853638520905942e+31,9.333472826919721e+30,1.0526513982667982e+31,9.307569469060984e+30,1.1463403904012137e+31,9.924946457051633e+30,1.0462869258436347e+31,8.718431007865579e+30,1.187588086230092e+31,1.0701133550884186e+31
GHA,Ghana,3.3897856406470754e+32,2.9366375299182736e+32,2.7731871985244715e+32,3.0583967802821276e+32,2.9247290537180264e+32,2.6949185643073387e+32,3.499439560173707e+32,2.358793388136986e+32,2.700128488104836e+32,2.3650589894216244e+32,2.686360803575536e+32,2.433497494250297e+32,2.3565163278823124e+32,2.0643906859552e+32,2.0220849501333155e+32,2.371895483799578e+32,1.5056563694849828e+32,2.0978762657150534e+32,1.3894808126283668e+32,1.821941955664838e+32,1.1939531878634192e+32
GIN,Guinea,5.2281465971093566e+32,5.482844667464896e+32,6.235549781796569e+32,5.891944662734913e+32,6.657638162528607e+32,4.6241821989333745e+32,5.480079121828075e+32,6.244820841721333e+32,5.435761373853416e+32,5.454903208125897e+32,5.2481874078667355e+32,7.822213800072475e+32,4.562241009460333e+32,3.777161161132902e+32,4.418237443091955e+32,3.879830036771838e+32,3.488504544331575e+32,3.303508851097253e+32,3.245877516964461e+32,3.45083543555124e+32,2.0770951440594494e+32
GMB,Gambia,6.727195665386597e+30,1.0953237728057722e+31,7.191930928656211e+30,5.388355506226803e+30,6.454029845395375e+30,5.664680865919485e+30,7.120913270803714e+30,4.0853833984264304e+30,5.527619514589035e+30,4.6253478979035047e+30,2.569116386783951e+30,5.543729191009127e+30,4.1722611028410934e+30,5.232223352744002e+30,2.845726660372046e+30,5.495495890895246e+30,4.041890165045792e+30,4.700735878812094e+30,5.887076781779256e+30,8.023460229697939e+30,4.156107694380679e+30
GNB,Guinea-Bissau,3.681340254689033e+31,3.600793154781653e+31,4.820496377447166e+31,4.0299058807215306e+31,4.40371517547557e+31,3.30940765717073e+31,4.869739271989408e+31,4.550870868209384e+31,3.2771795704071575e+31,3.8660638918536555e+31,4.59545841542277e+31,5.055235248340854e+31,2.209443964946591e+31,2.547867588357219e+31,2.8610106034737625e+31,3.4735128074903613e+31,1.9679071396928548e+31,2.13960797656924e+31,2.323203867171273e+31,3.0496812186642274e+31,1.8578097743545098e+31
GNQ,Eq. Guinea,3.858219746031379e+29,3.856491143339533e+29,5.933426822393899e+29,7.026805721690694e+29,2.044550048923142e+29,2.6634528523458585e+29,4.6551234901241736e+29,1.59229249936441e+29,3.6300348154533075e+29,1.182210616214755e+30,7.345135408371222e+29,8.595187821869099e+29,2.558530449933427e+29,5.840227938183357e+29,8.12040000256617e+29,7.226593613907448e+29,7.714405827240082e+29,6.842365110289644e+29,9.062371635467423e+29,8.798932988001063e+29,8.276198245552071e+29
KEN,Kenya,3.2466203800473395e+31,1.6507096201503486e+31,3.495360237736693e+31,2.9907464516918974e+31,2.5433833345086354e+31,1.4631964325582253e+31,2.470249358882991e+31,4.818849595264222e+31,2.458782471322404e+31,2.0262286419972015e+31,3.109829872159715e+31,2.1325753561313295e+31,1.4154829060215327e+31,1.065189774969753e+31,2.376498567855861e+31,2.1453559867100236e+31,2.388273073135942e+31,1.1410426440515178e+31,1.6434718050242253e+31,1.6093293086787628e+31,2.7999640415819832e+31
