ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,1.6797966760770466e+33,1.4901876700784582e+33,1.658711193116854e+33,1.5636501281657974e+33,1.534056619595039e+33,1.6555435158741072e+33,1.845333328947435e+33,1.5723457665814204e+33,1.723462461040205e+33,1.5461979990117216e+33,1.6755055875659928e+33,1.6780687673573277e+33,1.3670182759181018e+33,1.2207913301616913e+33,1.471869708459976e+33,1.0285503320181078e+33,1.3032491007923283e+33,1.3133708437183572e+33,1.409438024892644e+33,1.4033522540900913e+33,1.0165193115172594e+33
BDI,Burundi,3.9914969698848647e+30,2.00017749770979e+30,2.1554001519019868e+30,2.560852941119391e+30,2.1749374669864686e+30,4.471922441684145e+30,1.0659834759232146e+30,1.8443819774962973e+30,2.7142533158871526e+30,2.288200667719235e+30,3.9203188647927797e+30,3.922633150388083e+30,1.4040399616855763e+30,1.1681803298191865e+30,1.875902519889177e+30,1.5503932780392824e+30,1.4048017385040318e+30,1.67496495246622e+30,1.8823917359094182e+30,2.8910225894725113e+30,1.5510966362720145e+30
BEN,Benin,9.796969326514425e+31,7.81037587716877e+31,9.111111856558203e+31,9.243238733128803e+31,8.07093636092521e+31,6.953155621674789e+31,6.679988121581216e+31,6.487301990493562e+31,6.015722104815514e+31,5.682857478393157e+31,4.499872156718858e+31,5.3902857547413605e+31,4.351658107256352e+31,4.146502769692004e+31,3.924596597956513e+31,3.5585933982607467e+31,3.6052165517697553e+31,3.532560802915106e+31,2.312471346689925e+31,2.6262549504962456e+31,2.531850860827799e+31
BFA,Burkina Faso,8.436018029880197e+31,6.866211210949186e+31,6.594840426022391e+31,6.792827927386941e+31,7.0876942704371105e+31,8.318375155751509e+31,7.241894376667388e+31,5.252051837034342e+31,5.748411770293802e+31,4.744619878928836e+31,3.9244674315690543e+31,5.451497659993264e+31,4.77197975735788e+31,3.6837562563710273e+31,3.612507110444745e+31,3.4387418158473275e+31,3.570822170561435e+31,2.9431956493331114e+31,4.161856822257863e+31,6.270818188796834e+31,4.782667004962959e+31
BWA,Botswana,5.754783514120945e+31,9.508429657031895e+31,6.182549112629325e+31,2.1385859058257666e+32,4.781511723149185e+31,3.3583754791758756e+32,3.900388716906781e+32,1.1737180331568491e+32,1.0327618881357524e+32,6.033866269780788e+31,6.3645759550954095e+31,4.2212627084738805e+31,8.602390508236698e+31,6.432952497550717e+31,5.2827532916821695e+31,5.084910087149579e+31,2.0771253579238738e+32,1.915819479470922e+32,2.6804556386080277e+32,5.428002613830284e+31,3.8136195528131416e+31
CAF,Central African Rep.,8.373647799062157e+32,7.443448817338999e+32,7.917082078347813e+32,9.20003946043886e+32,5.688584480331798e+32,6.105623522998673e+32,7.301125951039987e+32,5.623386314550455e+32,5.807416647835118e+32,6.635674708379195e+32,6.975026341137788e+32,7.650876239958915e+32,5.318106366249084e+32,5.8725838900147225e+32,4.3889652003554184e+32,5.310775166907666e+32,4.849978862446621e+32,4.9454515376009974e+32,3.93117649143562e+32,3.798346952813297e+32,3.189523198522097e+32
CIV,Côte d'Ivoire,1.8283367802763727e+32,1.751988001070981e+32,1.7690511612851013e+32,2.0093495215329146e+32,1.5770076875162277e+32,1.3181191779445959e+32,1.5842350422072756e+32,1.3243482539289407e+32,1.4961929736088325e+32,9.450196665807456e+31,9.924646311949415e+31,1.2260255991564364e+32,7.209292790635201e+31,6.753301000830187e+31,6.109736244918619e+31,6.87182123680687e+31,4.825512752545192e+31,5.629558725078687e+31,4.273807294714177e+31,6.623928932421611e+31,3.9698380078866895e+31
CMR,Cameroon,2.1889022566151248e+32,1.736027809700577e+32,2.3900568591102473e+32,2.0867147342887573e+32,1.669583370929291e+32,1.743951703274848e+32,1.664328091604401e+32,1.4356955401776162e+32,1.4026438419221041e+32,1.431467095202418e+32,1.3198689679277378e+32,1.7939352299309142e+32,1.3224862444915247e+32,1.1124745353176703e+32,1.1143006068099532e+32,1.380459162993554e+32,1.4234374978807412e+32,1.1812228710506096e+32,1.3388962706018349e+32,1.0896648491149633e+32,1.4333498622071583e+32
COD,Dem. Rep. Congo,2.1882589011815256e+33,2.2416163017453475e+33,2.011771646115745e+33,2.0910919114814798e+33,2.117571247366346e+33,2.195419648714766e+33,2.105288605831704e+33,1.9556470742323203e+33,2.1855673777747253e+33,2.0492592939232263e+33,2.2081339752182203e+33,2.5656928955590164e+33,1.854843428945053e+33,1.8714850821090336e+33,1.8066897165584548e+33,1.802383020700752e+33,1.9367264176816705e+33,1.9728338345993865e+33,1.719767033223615e+33,1.7166726813403286e+33,1.4231881096673337e+33
COG,Congo,9.286226217750104e+31,8.712395753578246e+31,7.774002418041595e+31,8.817176552740663e+31,8.583507573700839e+31,9.937946426521142e+31,1.077295709394236e+32,8.665299267968791e+31,1.0304049738485722e+32,7.604258037104903e+31,8.494142655122862e+31,1.0765983572518146e+32,6.64003536922182e+31,8.308180809476189e+31,6.889699373971408e+31,6.938154341730342e+31,8.143421621226833e+31,8.634665714872568e+31,6.740478187554009e+31,9.625951693846077e+31,7.646581816396045e+31
