ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,4.479457802872127e+33,3.973833786875889e+33,4.4232298483116116e+33,4.1697336751087937e+33,4.0908176522534367e+33,4.414782708997621e+33,4.9208888771931606e+33,4.192922044217121e+33,4.5958998961072135e+33,4.1231946640312573e+33,4.468014900175981e+33,4.4748500462862075e+33,3.6453820691149383e+33,3.255443547097843e+33,3.9249858892266025e+33,2.7428008853816206e+33,3.475330935446209e+33,3.5023222499156194e+33,3.758501399713717e+33,3.742272677573577e+33,2.7107181640460254e+33
BDI,Burundi,1.0643991919692974e+31,5.333806660559441e+30,5.747733738405298e+30,6.828941176318377e+30,5.79983324529725e+30,1.1925126511157725e+31,2.842622602461906e+30,4.918351939990127e+30,7.238008842365742e+30,6.101868447251295e+30,1.0454183639447414e+31,1.0460355067701553e+31,3.7441065644948704e+30,3.1151475461844976e+30,5.0024067197044717e+30,4.13438207477142e+30,3.7461379693440855e+30,4.466573206576588e+30,5.019711295758449e+30,7.709393571926698e+30,4.1362576967253717e+30
BEN,Benin,2.6125251537371807e+32,2.0827669005783388e+32,2.4296298284155215e+32,2.4648636621676813e+32,2.1522496962467233e+32,1.8541748324466102e+32,1.7813301657549918e+32,1.7299471974649495e+32,1.6041925612841372e+32,1.5154286609048422e+32,1.199965908458362e+32,1.437409534597696e+32,1.1604421619350272e+32,1.1057340719178682e+32,1.0465590927884037e+32,9.489582395361993e+31,9.613910804719349e+31,9.42016214110695e+31,6.166590257839799e+31,7.003346534656654e+31,6.751602295540797e+31
BFA,Burkina Faso,2.2496048079680524e+32,1.8309896562531163e+32,1.7586241136059713e+32,1.811420780636518e+32,1.8900518054498965e+32,2.2182333748670697e+32,1.93117183377797e+32,1.400547156542491e+32,1.5329098054116806e+32,1.2652319677143562e+32,1.0465246484184146e+32,1.4537327093315372e+32,1.2725279352954349e+32,9.823350016989407e+31,9.63335229451932e+31,9.169978175592875e+31,9.522192454830495e+31,7.848521731554964e+31,1.1098284859354303e+32,1.6722181836791562e+32,1.2753778679901227e+32
BWA,Botswana,1.534608937098919e+32,2.5355812418751723e+32,1.6486797633678203e+32,5.702895748868712e+32,1.2750697928397826e+32,8.955667944469002e+32,1.0401036578418084e+33,3.1299147550849323e+32,2.7540317016953396e+32,1.6090310052748776e+32,1.6972202546921096e+32,1.1256700555930348e+32,2.2939708021964527e+32,1.715453999346858e+32,1.4087342111152454e+32,1.3559760232398876e+32,5.5390009544636636e+32,5.108851945255792e+32,7.147881702954738e+32,1.447467363688076e+32,1.0169652140835045e+32
CAF,Central African Rep.,2.232972746416575e+33,1.9849196846237337e+33,2.1112218875594172e+33,2.453343856117029e+33,1.5169558614218123e+33,1.6281662727996464e+33,1.94696692027733e+33,1.4995696838801214e+33,1.5486444394226983e+33,1.7695132555677852e+33,1.8600070243034103e+33,2.0402336639890443e+33,1.4181616976664224e+33,1.566022370670593e+33,1.1703907200947784e+33,1.4162067111753772e+33,1.2933276966524324e+33,1.3187870766935995e+33,1.0483137310494987e+33,1.0128925207502127e+33,8.505395196058922e+32
CIV,Côte d'Ivoire,4.8755647474036626e+32,4.6719680028559486e+32,4.7174697634269366e+32,5.35826539075444e+32,4.205353833376607e+32,3.514984474518922e+32,4.2246267792194024e+32,3.531595343810508e+32,3.989847929623554e+32,2.5200524442153222e+32,2.646572349853178e+32,3.269401597750497e+32,1.9224780775027204e+32,1.80088026688805e+32,1.629262998644965e+32,1.8324856631484987e+32,1.286803400678718e+32,1.501215660020983e+32,1.139681945257114e+32,1.766381048645763e+32,1.058623468769784e+32
CMR,Cameroon,5.837072684307001e+32,4.629407492534872e+32,6.373484957627325e+32,5.564572624770019e+32,4.452222322478109e+32,4.6505378753995945e+32,4.438208244278403e+32,3.8285214404736434e+32,3.740383578458946e+32,3.817245587206448e+32,3.519650581140634e+32,4.783827279815771e+32,3.526629985310733e+32,2.9665987608471206e+32,2.9714682848265424e+32,3.6812244346494786e+32,3.795833327681977e+32,3.149927656134959e+32,3.5703900549382266e+32,2.905772930973235e+32,3.8222662992190885e+32
COD,Dem. Rep. Congo,5.835357069817402e+33,5.977643471320927e+33,5.364724389641986e+33,5.576245097283946e+33,5.64685665964359e+33,5.854452396572709e+33,5.614102948884545e+33,5.215058864619522e+33,5.828179674065934e+33,5.464691450461938e+33,5.888357267248588e+33,6.841847721490709e+33,4.946249143853474e+33,4.990626885624091e+33,4.81783924415588e+33,4.8063547218686734e+33,5.1646037804844547e+33,5.260890225598365e+33,4.5860454219296406e+33,4.5777938169075446e+33,3.7951682924462227e+33
COG,Congo,2.4763269914000274e+32,2.3233055342875328e+32,2.0730673114777587e+32,2.3512470807308436e+32,2.2889353529868906e+32,2.6501190470723053e+32,2.87278855838463e+32,2.3107464714583445e+32,2.7477465969295256e+32,2.027802143227975e+32,2.2651047080327628e+32,2.8709289526715065e+32,1.7706760984591523e+32,2.2155148825269835e+32,1.8372531663923756e+32,1.8501744911280915e+32,2.1715790989938223e+32,2.3025775239660177e+32,1.797460850014403e+32,2.566920451692287e+32,2.0390884843722788e+32
