ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,1.1198644507180317e+33,9.934584467189723e+32,1.1058074620779029e+33,1.0424334187771984e+33,1.0227044130633592e+33,1.1036956772494053e+33,1.2302222192982902e+33,1.0482305110542803e+33,1.1489749740268034e+33,1.0307986660078143e+33,1.1170037250439953e+33,1.1187125115715519e+33,9.113455172787346e+32,8.138608867744608e+32,9.812464723066506e+32,6.857002213454052e+32,8.688327338615522e+32,8.755805624789049e+32,9.396253499284293e+32,9.355681693933943e+32,6.776795410115064e+32
BDI,Burundi,2.6609979799232435e+30,1.3334516651398604e+30,1.4369334346013246e+30,1.7072352940795942e+30,1.4499583113243124e+30,2.981281627789431e+30,7.106556506154765e+29,1.2295879849975317e+30,1.8095022105914356e+30,1.5254671118128237e+30,2.6135459098618535e+30,2.6150887669253883e+30,9.360266411237176e+29,7.787868865461244e+29,1.2506016799261179e+30,1.033595518692855e+30,9.365344923360214e+29,1.116643301644147e+30,1.2549278239396122e+30,1.9273483929816744e+30,1.0340644241813429e+30
BEN,Benin,6.531312884342952e+31,5.206917251445847e+31,6.074074571038804e+31,6.162159155419203e+31,5.380624240616808e+31,4.6354370811165255e+31,4.453325414387479e+31,4.324867993662374e+31,4.010481403210343e+31,3.7885716522621054e+31,2.999914771145905e+31,3.59352383649424e+31,2.901105404837568e+31,2.7643351797946705e+31,2.6163977319710092e+31,2.3723955988404983e+31,2.403477701179837e+31,2.3550405352767373e+31,1.5416475644599498e+31,1.7508366336641635e+31,1.6879005738851993e+31
BFA,Burkina Faso,5.624012019920131e+31,4.577474140632791e+31,4.396560284014928e+31,4.528551951591295e+31,4.725129513624741e+31,5.545583437167674e+31,4.827929584444925e+31,3.5013678913562276e+31,3.8322745135292015e+31,3.1630799192858906e+31,2.6163116210460365e+31,3.634331773328843e+31,3.181319838238587e+31,2.4558375042473517e+31,2.40833807362983e+31,2.2924945438982186e+31,2.3805481137076236e+31,1.962130432888741e+31,2.7745712148385757e+31,4.180545459197891e+31,3.1884446699753067e+31
BWA,Botswana,3.8365223427472974e+31,6.338953104687931e+31,4.121699408419551e+31,1.425723937217178e+32,3.1876744820994565e+31,2.2389169861172506e+32,2.600259144604521e+32,7.824786887712331e+31,6.885079254238349e+31,4.022577513187194e+31,4.243050636730274e+31,2.814175138982587e+31,5.734927005491132e+31,4.288634998367145e+31,3.5218355277881136e+31,3.389940058099719e+31,1.3847502386159159e+32,1.277212986313948e+32,1.7869704257386845e+32,3.61866840922019e+31,2.5424130352087612e+31
CAF,Central African Rep.,5.582431866041438e+32,4.962299211559334e+32,5.278054718898543e+32,6.133359640292572e+32,3.792389653554531e+32,4.070415681999116e+32,4.867417300693325e+32,3.7489242097003035e+32,3.871611098556746e+32,4.423783138919463e+32,4.650017560758526e+32,5.100584159972611e+32,3.545404244166056e+32,3.9150559266764826e+32,2.925976800236946e+32,3.540516777938443e+32,3.233319241631081e+32,3.296967691733999e+32,2.6207843276237466e+32,2.532231301875532e+32,2.1263487990147305e+32
CIV,Côte d'Ivoire,1.2188911868509156e+32,1.1679920007139871e+32,1.1793674408567341e+32,1.33956634768861e+32,1.0513384583441518e+32,8.787461186297305e+31,1.0561566948048506e+32,8.82898835952627e+31,9.974619824058885e+31,6.3001311105383055e+31,6.616430874632945e+31,8.173503994376242e+31,4.806195193756801e+31,4.502200667220125e+31,4.073157496612412e+31,4.581214157871247e+31,3.217008501696795e+31,3.7530391500524574e+31,2.849204863142785e+31,4.415952621614408e+31,2.64655867192446e+31
CMR,Cameroon,1.4592681710767502e+32,1.157351873133718e+32,1.5933712394068312e+32,1.3911431561925048e+32,1.1130555806195273e+32,1.1626344688498986e+32,1.1095520610696008e+32,9.571303601184109e+31,9.350958946147365e+31,9.54311396801612e+31,8.799126452851585e+31,1.1959568199539427e+32,8.816574963276833e+31,7.416496902117801e+31,7.428670712066356e+31,9.203061086623696e+31,9.489583319204943e+31,7.874819140337398e+31,8.925975137345567e+31,7.264432327433088e+31,9.555665748047721e+31
COD,Dem. Rep. Congo,1.4588392674543506e+33,1.4944108678302318e+33,1.3411810974104964e+33,1.3940612743209866e+33,1.4117141649108974e+33,1.4636130991431772e+33,1.403525737221136e+33,1.3037647161548805e+33,1.4570449185164835e+33,1.3661728626154844e+33,1.472089316812147e+33,1.7104619303726772e+33,1.2365622859633686e+33,1.2476567214060227e+33,1.20445981103897e+33,1.2015886804671683e+33,1.2911509451211137e+33,1.3152225563995912e+33,1.1465113554824101e+33,1.1444484542268862e+33,9.487920731115557e+32
COG,Congo,6.190817478500068e+31,5.808263835718832e+31,5.182668278694397e+31,5.878117701827109e+31,5.7223383824672265e+31,6.625297617680763e+31,7.181971395961575e+31,5.776866178645861e+31,6.869366492323814e+31,5.069505358069937e+31,5.662761770081907e+31,7.177322381678766e+31,4.426690246147881e+31,5.538787206317459e+31,4.593132915980939e+31,4.625436227820229e+31,5.428947747484556e+31,5.756443809915044e+31,4.493652125036007e+31,6.417301129230718e+31,5.097721210930697e+31
