ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,5.0393900282311416e+33,4.4705630102353756e+33,4.976133579350563e+33,4.690950384497392e+33,4.602169858785117e+33,4.966630547622323e+33,5.535999986842307e+33,4.717037299744261e+33,5.170387383120615e+33,4.638593997035165e+33,5.0265167626979774e+33,5.0342063020719833e+33,4.1010548277543057e+33,3.662373990485074e+33,4.415609125379928e+33,3.0856509960543234e+33,3.9097473023769855e+33,3.9401125311550725e+33,4.2283140746779326e+33,4.2100567622702746e+33,3.049557934551779e+33
BDI,Burundi,1.1974490909654594e+31,6.00053249312937e+30,6.466200455705961e+30,7.682558823358173e+30,6.524812400959406e+30,1.341576732505244e+31,3.197950427769644e+30,5.533145932488892e+30,8.14275994766146e+30,6.864602003157707e+30,1.176095659437834e+31,1.1767899451164247e+31,4.212119885056729e+30,3.5045409894575596e+30,5.627707559667531e+30,4.651179834117847e+30,4.214405215512096e+30,5.024894857398662e+30,5.647175207728255e+30,8.673067768417534e+30,4.653289908816043e+30
BEN,Benin,2.939090797954328e+32,2.3431127631506307e+32,2.7333335569674616e+32,2.772971619938641e+32,2.4212809082775635e+32,2.0859466865024366e+32,2.0039964364743653e+32,1.9461905971480687e+32,1.8047166314446543e+32,1.7048572435179472e+32,1.3499616470156575e+32,1.617085726422408e+32,1.3054974321769055e+32,1.2439508309076017e+32,1.1773789793869539e+32,1.067578019478224e+32,1.0815649655309267e+32,1.0597682408745317e+32,6.937414040069776e+31,7.878764851488735e+31,7.595552582483397e+31
BFA,Burkina Faso,2.530805408964059e+32,2.059863363284756e+32,1.978452127806718e+32,2.0378483782160826e+32,2.126308281131133e+32,2.4955125467254533e+32,2.1725683130002164e+32,1.5756155511103025e+32,1.7245235310881404e+32,1.4233859636786507e+32,1.177340229470716e+32,1.635449297997979e+32,1.4315939272073643e+32,1.1051268769113083e+32,1.0837521331334235e+32,1.0316225447541983e+32,1.0712466511684306e+32,8.829586947999335e+31,1.2485570466773591e+32,1.8812454566390505e+32,1.4348001014888878e+32
BWA,Botswana,1.7264350542362835e+32,2.8525288971095686e+32,1.854764733788798e+32,6.4157577174773006e+32,1.4344535169447554e+32,1.0075126437527628e+33,1.1701166150720346e+33,3.5211540994705484e+32,3.0982856644072577e+32,1.8101598809342368e+32,1.9093727865286234e+32,1.2663788125421641e+32,2.580717152471009e+32,1.929885749265215e+32,1.5848259875046512e+32,1.5254730261448734e+32,6.2313760737716224e+32,5.747458438412766e+32,8.041366915824083e+32,1.6284007841490855e+32,1.1440858658439426e+32
CAF,Central African Rep.,2.5120943397186476e+33,2.2330346452017002e+33,2.375124623504344e+33,2.7600118381316583e+33,1.7065753440995393e+33,1.8316870568996022e+33,2.190337785311996e+33,1.6870158943651364e+33,1.7422249943505355e+33,1.9907024125137586e+33,2.0925079023413365e+33,2.295262871987675e+33,1.5954319098747253e+33,1.761775167004417e+33,1.3166895601066258e+33,1.5932325500722996e+33,1.4549936587339866e+33,1.4836354612802996e+33,1.1793529474306858e+33,1.1395040858439892e+33,9.56856959556629e+32
CIV,Côte d'Ivoire,5.4850103408291186e+32,5.255964003212942e+32,5.307153483855303e+32,6.0280485645987436e+32,4.7310230625486834e+32,3.954357533833787e+32,4.7527051266218274e+32,3.973044761786822e+32,4.4885789208264976e+32,2.8350589997422373e+32,2.9773938935848244e+32,3.678076797469309e+32,2.1627878371905602e+32,2.0259903002490567e+32,1.8329208734755855e+32,2.061546371042061e+32,1.447653825763558e+32,1.6888676175236057e+32,1.2821421884142529e+32,1.9871786797264834e+32,1.1909514023660067e+32
CMR,Cameroon,6.566706769845377e+32,5.208083429101732e+32,7.170170577330742e+32,6.2601442028662705e+32,5.008750112787873e+32,5.231855109824544e+32,4.992984274813203e+32,4.307086620532849e+32,4.2079315257663135e+32,4.294401285607255e+32,3.9596069037832134e+32,5.3818056897927415e+32,3.967458733474575e+32,3.337423605953011e+32,3.3429018204298605e+32,4.1413774889806634e+32,4.270312493642224e+32,3.5436686131518285e+32,4.016688811805505e+32,3.26899454734489e+32,4.3000495866214735e+32
COD,Dem. Rep. Congo,6.564776703544576e+33,6.724848905236043e+33,6.035314938347235e+33,6.27327573444444e+33,6.352713742099039e+33,6.586258946144297e+33,6.315865817495113e+33,5.866941222696962e+33,6.556702133324175e+33,6.147777881769679e+33,6.624401925654662e+33,7.69707868667705e+33,5.564530286835159e+33,5.614455246327103e+33,5.420069149675364e+33,5.407149062102256e+33,5.810179253045011e+33,5.918501503798161e+33,5.159301099670845e+33,5.150018044020987e+33,4.269564329002001e+33
COG,Congo,2.7858678653250316e+32,2.6137187260734743e+32,2.3322007254124788e+32,2.6451529658221987e+32,2.575052272110251e+32,2.981383927956343e+32,3.231887128182709e+32,2.5995897803906375e+32,3.0912149215457164e+32,2.2812774111314706e+32,2.5482427965368585e+32,3.229795071755444e+32,1.9920106107665463e+32,2.4924542428428574e+32,2.0669098121914224e+32,2.0814463025191027e+32,2.44302648636805e+32,2.5903997144617706e+32,2.0221434562662028e+32,2.8877855081538237e+32,2.2939745449188137e+32
