ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
STP,São Tomé and Principe,2.654839768629198e+30,2.6772478266923194e+30,2.787740057273452e+30,2.989735675355389e+30,2.9533300613120984e+30,3.020809815696982e+30,2.750538089249848e+30,3.327712272212963e+30,2.8769570416815107e+30,2.943148559645042e+30,2.867653939306286e+30,2.804152018430538e+30,2.8556507544842686e+30,3.1077690196737993e+30,2.832708837627169e+30,2.4820057041307746e+30,2.4474639629086324e+30,2.2703920282459714e+30,1.5935275018177577e+30,2.4833861894070764e+30,2.3891348546956188e+30
RWA,Rwanda,5.079665755298584e+31,4.635873463941034e+31,4.5346552002914035e+31,4.397430931549425e+31,4.747918156459761e+31,5.281733592530037e+31,4.670498867769744e+31,5.327347118364262e+31,4.9590364157342065e+31,4.933461440765042e+31,4.809790673209166e+31,4.210760781350423e+31,4.487113609722481e+31,4.394932550335394e+31,4.420140986467781e+31,4.129935387815428e+31,4.0207940268338624e+31,4.554657456391996e+31,2.871337549066486e+31,2.814303941199189e+31,2.888933644297091e+31
NGA,Nigeria,3.209390426875311e+33,3.1530618151137275e+33,3.153288943538336e+33,3.1175825685823484e+33,2.893544044067017e+33,2.864183439601974e+33,2.960311235515466e+33,3.0635233150943177e+33,3.2233076775235685e+33,3.105830010827796e+33,3.198647699314968e+33,3.35066170877357e+33,3.1911624048837455e+33,3.1193273103041434e+33,2.995566281353006e+33,2.990594868856622e+33,3.1786895560387926e+33,3.172613710188873e+33,2.917901500427694e+33,2.924179969261939e+33,2.8843309400168595e+33
NER,Niger,1.7972381641886324e+33,1.813215308464911e+33,1.8102045109259454e+33,1.7797423487988883e+33,1.9087737268740306e+33,1.8150793436153045e+33,1.8630442261843826e+33,1.967373040240872e+33,1.9164753103860137e+33,2.0290764626295022e+33,1.9587138284485338e+33,2.1160353940994158e+33,2.1083597745621602e+33,1.8915429897250338e+33,2.0880326808691635e+33,1.863267370572811e+33,1.9835970800296654e+33,1.949317754684805e+33,2.04534834624799e+33,1.9176506744624046e+33,1.961042408289521e+33
NAM,Namibia,1.758087596324814e+33,1.6828918359800186e+33,1.7451769764699165e+33,1.7284694030073495e+33,1.6979785004863398e+33,1.8530707251965034e+33,1.814590354483379e+33,1.8579770738332827e+33,1.685262763473448e+33,1.8390673139953588e+33,1.6986350925827837e+33,1.7323122691319716e+33,1.787204365140433e+33,1.604686811826747e+33,1.604334474698458e+33,1.710615526007723e+33,1.6692612241319037e+33,1.5791352322752164e+33,1.5143165159906958e+33,1.492676248530106e+33,1.516961116600939e+33
MOZ,Mozambique,2.848269654308271e+33,3.0247482501202455e+33,2.892681969729445e+33,3.3891869324896385e+33,2.728770689205552e+33,2.9771466072077235e+33,2.9727886456869565e+33,2.8691302130351105e+33,3.389217624037395e+33,3.0174062614967525e+33,3.1659679749256486e+33,3.1482988972037813e+33,2.7900324875251305e+33,2.7896859276242226e+33,3.131359833767272e+33,2.9502461768728187e+33,2.7009733983446065e+33,2.571549534004917e+33,2.2621779381096183e+33,2.3266317384999457e+33,2.1142687703543476e+33
MUS,Mauritius,6.127855586771252e+30,5.796137041400307e+30,5.701067976868194e+30,5.872290880896255e+30,5.481862410298003e+30,5.157118625861644e+30,5.718938194293925e+30,5.915705081543764e+30,6.220118800523767e+30,6.0598274358319e+30,5.953717700948737e+30,5.77604155104827e+30,6.372263252187631e+30,5.875037115320275e+30,6.083295674966563e+30,5.316349736827829e+30,5.24021692656497e+30,4.8587089739788524e+30,4.692932979356452e+30,3.935254082856973e+30,4.8352080140281655e+30
MRT,Mauritania,1.5186342288569055e+33,1.4961830921201814e+33,1.5448217728277714e+33,1.4995501564195794e+33,1.5928031032964494e+33,1.6495162734635224e+33,1.6254473377255885e+33,1.6815964876573528e+33,1.6079663446469418e+33,1.7098871719890803e+33,1.6407882852124295e+33,1.7786136301902026e+33,1.8019140309168357e+33,1.6861786709703907e+33,1.777214342121224e+33,1.6760881349752932e+33,1.735042141465452e+33,1.635745183917847e+33,1.7691310826287266e+33,1.614917822180252e+33,1.736585588101572e+33
MLI,Mali,2.3784510907094986e+33,2.309250718989866e+33,2.3115183004361298e+33,2.2682690164299124e+33,2.4188977047520762e+33,2.3531533498397438e+33,2.4490631239165004e+33,2.3649387721688432e+33,2.3613443470491374e+33,2.5417378116044763e+33,2.4311152259926285e+33,2.663216872563041e+33,2.6723114421905885e+33,2.38994901524914e+33,2.542037364032744e+33,2.3550723950452815e+33,2.5858343986577412e+33,2.335826231327503e+33,2.6033161472673536e+33,2.4333106795695443e+33,2.5849795809974884e+33
MWI,Malawi,2.5630134205575043e+32,3.275405907565743e+32,2.7346603576617445e+32,3.596618369185752e+32,2.8311061500178907e+32,3.26547128150651e+32,3.158749886658381e+32,2.9428979657579547e+32,3.794604477364203e+32,2.9396951000654528e+32,3.464835045801714e+32,3.609670287410954e+32,2.7869004477331097e+32,2.730472210761306e+32,3.481343543462749e+32,3.271974948813253e+32,2.8043658731129957e+32,2.9638170540532548e+32,2.3097652548166758e+32,2.6461357803090048e+32,2.295734139991617e+32
