ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,3.359593352154093e+33,2.9803753401569165e+33,3.317422386233708e+33,3.127300256331595e+33,3.068113239190078e+33,3.3110870317482143e+33,3.69066665789487e+33,3.144691533162841e+33,3.44692492208041e+33,3.092395998023443e+33,3.3510111751319855e+33,3.3561375347146553e+33,2.7340365518362036e+33,2.4415826603233825e+33,2.943739416919952e+33,2.0571006640362156e+33,2.6064982015846566e+33,2.6267416874367144e+33,2.818876049785288e+33,2.8067045081801825e+33,2.0330386230345188e+33
BDI,Burundi,7.982993939769729e+30,4.00035499541958e+30,4.3108003038039736e+30,5.121705882238782e+30,4.349874933972937e+30,8.94384488336829e+30,2.1319669518464292e+30,3.6887639549925945e+30,5.428506631774305e+30,4.57640133543847e+30,7.840637729585559e+30,7.845266300776165e+30,2.8080799233711525e+30,2.336360659638373e+30,3.751805039778354e+30,3.100786556078565e+30,2.8096034770080635e+30,3.34992990493244e+30,3.7647834718188363e+30,5.782045178945023e+30,3.102193272544029e+30
BEN,Benin,1.959393865302885e+32,1.562075175433754e+32,1.8222223713116407e+32,1.8486477466257606e+32,1.614187272185042e+32,1.3906311243349578e+32,1.3359976243162433e+32,1.2974603980987124e+32,1.2031444209631028e+32,1.1365714956786314e+32,8.999744313437716e+31,1.0780571509482721e+32,8.703316214512704e+31,8.293005539384009e+31,7.849193195913026e+31,7.117186796521493e+31,7.210433103539511e+31,7.065121605830212e+31,4.62494269337985e+31,5.252509900992491e+31,5.063701721655598e+31
BFA,Burkina Faso,1.6872036059760393e+32,1.3732422421898372e+32,1.3189680852044782e+32,1.3585655854773882e+32,1.4175388540874221e+32,1.6636750311503018e+32,1.4483788753334776e+32,1.0504103674068684e+32,1.1496823540587603e+32,9.489239757857671e+31,7.848934863138109e+31,1.0902995319986528e+32,9.54395951471576e+31,7.367512512742055e+31,7.22501422088949e+31,6.877483631694655e+31,7.14164434112287e+31,5.886391298666223e+31,8.323713644515726e+31,1.2541636377593668e+32,9.565334009925918e+31
BWA,Botswana,1.150956702824189e+32,1.901685931406379e+32,1.236509822525865e+32,4.277171811651533e+32,9.56302344629837e+31,6.716750958351751e+32,7.800777433813562e+32,2.3474360663136982e+32,2.0655237762715048e+32,1.2067732539561576e+32,1.2729151910190819e+32,8.442525416947761e+31,1.7204781016473395e+32,1.2865904995101434e+32,1.0565506583364339e+32,1.0169820174299158e+32,4.1542507158477475e+32,3.831638958941844e+32,5.360911277216055e+32,1.0856005227660567e+32,7.627239105626283e+31
CAF,Central African Rep.,1.6747295598124314e+33,1.4886897634677998e+33,1.5834164156695626e+33,1.840007892087772e+33,1.1377168960663595e+33,1.2211247045997345e+33,1.4602251902079974e+33,1.124677262910091e+33,1.1614833295670236e+33,1.327134941675839e+33,1.3950052682275577e+33,1.530175247991783e+33,1.0636212732498168e+33,1.1745167780029445e+33,8.777930400710837e+32,1.0621550333815331e+33,9.699957724893243e+32,9.890903075201995e+32,7.86235298287124e+32,7.596693905626594e+32,6.379046397044194e+32
CIV,Côte d'Ivoire,3.6566735605527455e+32,3.503976002141962e+32,3.5381023225702026e+32,4.018699043065829e+32,3.1540153750324553e+32,2.6362383558891918e+32,3.168470084414551e+32,2.6486965078578814e+32,2.992385947217665e+32,1.8900393331614913e+32,1.984929262389883e+32,2.4520511983128728e+32,1.4418585581270402e+32,1.3506602001660374e+32,1.2219472489837237e+32,1.374364247361374e+32,9.651025505090385e+31,1.1259117450157374e+32,8.547614589428353e+31,1.3247857864843222e+32,7.939676015773379e+31
CMR,Cameroon,4.3778045132302496e+32,3.472055619401154e+32,4.7801137182204946e+32,4.1734294685775146e+32,3.339166741858582e+32,3.487903406549696e+32,3.328656183208802e+32,2.8713910803552324e+32,2.8052876838442083e+32,2.862934190404836e+32,2.6397379358554756e+32,3.5878704598618284e+32,2.6449724889830494e+32,2.2249490706353405e+32,2.2286012136199065e+32,2.760918325987108e+32,2.8468749957614825e+32,2.362445742101219e+32,2.6777925412036698e+32,2.1793296982299266e+32,2.8666997244143165e+32
COD,Dem. Rep. Congo,4.376517802363051e+33,4.483232603490695e+33,4.02354329223149e+33,4.1821838229629597e+33,4.235142494732692e+33,4.390839297429532e+33,4.210577211663408e+33,3.9112941484646405e+33,4.3711347555494506e+33,4.0985185878464526e+33,4.4162679504364407e+33,5.131385791118033e+33,3.709686857890106e+33,3.742970164218067e+33,3.6133794331169095e+33,3.604766041401504e+33,3.873452835363341e+33,3.945667669198773e+33,3.43953406644723e+33,3.433345362680657e+33,2.8463762193346675e+33
COG,Congo,1.8572452435500208e+32,1.742479150715649e+32,1.554800483608319e+32,1.7634353105481326e+32,1.7167015147401678e+32,1.9875892853042283e+32,2.154591418788472e+32,1.7330598535937582e+32,2.0608099476971445e+32,1.5208516074209806e+32,1.6988285310245724e+32,2.153196714503629e+32,1.328007073844364e+32,1.6616361618952378e+32,1.3779398747942816e+32,1.3876308683460684e+32,1.6286843242453665e+32,1.7269331429745136e+32,1.3480956375108018e+32,1.9251903387692153e+32,1.529316363279209e+32
COM,Comoros,5.776450208181288e+30,1.3619233857839701e+31,5.427349807058544e+29,8.136397111566401e+29,2.08340848208727e+29,4.366026432187143e+29,1.4518199836098727e+29,3.992213664066064e+29,2.728269443212832e+29,3.802885095916673e+29,3.2288430464082766e+29,1.354234899256041e+29,1.4164078118482162e+29,3.429230938006755e+29,2.239838862164741e+29,1.2551011269268987e+29,1.396688468815326e+29,1.0019053642490888e+29,8.166565686443108e+28,5.081573240134606e+29,6.799625201475568e+28
CPV,Cabo Verde,0.0,2.1555313579790633e+28,0.0,1.9631533065660698e+28,0.0,0.0,0.0,3.837216011914995e+27,0.0,4.1534361075629426e+29,0.0,0.0,4.740401775189747e+28,3.300693522064787e+29,1.822174542097789e+29,0.0,3.710908860343393e+27,9.45131978198718e+28,4.597962356834052e+28,3.7872417657403876e+27,3.351927459388535e+28
ERI,Eritrea,1.9494371492962028e+30,2.2122805506686515e+30,5.0076755916468676e+30,4.823447680648471e+30,1.8850592128341575e+30,3.1751470350675335e+30,9.66276969676057e+31,2.1854523050249814e+30,1.6531716714246862e+30,2.6292100439301354e+30,2.6743136679694956e+30,1.6726656388193424e+30,1.9789441499265805e+30,2.211255603463241e+30,3.089978162160196e+30,5.261055322761003e+30,4.7001498691903175e+30,3.929738276291788e+30,5.141885643656606e+30,2.991861191684443e+30,4.234625960491398e+30
ETH,Ethiopia,5.857188285010515e+32,4.484241518832669e+32,5.801099793271421e+32,5.8471173791948976e+32,5.133200246363887e+32,3.9046836043203355e+32,4.743140837870387e+32,4.9100850266441214e+32,4.774485224652664e+32,4.065077566729322e+32,5.021425045976762e+32,5.076027176191454e+32,4.4186629814196856e+32,4.1693025310034115e+32,3.2388920339456457e+32,2.9340167835364205e+32,3.5020370276713204e+32,2.564656836696838e+32,3.0815585098135042e+32,2.8519784770800774e+32,3.612303783422452e+32
GAB,Gabon,2.010001253323071e+31,1.661206857778332e+31,1.5829014124048954e+31,1.9192403371309185e+31,1.1291567632849803e+31,1.8904189250530052e+31,2.2875101278171295e+31,1.8581954307967867e+31,2.0119689916871042e+31,1.5842696484198975e+31,1.5705561925634032e+31,2.078045778135891e+31,1.400020924037958e+31,1.5789770974001971e+31,1.3961354203591476e+31,1.71951058560182e+31,1.4887419685577445e+31,1.5694303887654518e+31,1.3077646511798366e+31,1.7813821293451383e+31,1.6051700326326278e+31
GHA,Ghana,5.084678460970612e+32,4.4049562948774105e+32,4.159780797786707e+32,4.587595170423191e+32,4.387093580577039e+32,4.0423778464610075e+32,5.249159340260561e+32,3.538190082205479e+32,4.050192732157254e+32,3.547588484132437e+32,4.029541205363303e+32,3.650246241375446e+32,3.534774491823468e+32,3.0965860289328003e+32,3.0331274251999737e+32,3.557843225699367e+32,2.258484554227474e+32,3.1468143985725798e+32,2.08422121894255e+32,2.7329129334972563e+32,1.790929781795129e+32
GIN,Guinea,7.842219895664035e+32,8.224267001197344e+32,9.353324672694853e+32,8.837916994102371e+32,9.986457243792908e+32,6.936273298400061e+32,8.220118682742112e+32,9.367231262581999e+32,8.153642060780122e+32,8.182354812188846e+32,7.872281111800104e+32,1.1733320700108711e+33,6.843361514190499e+32,5.665741741699354e+32,6.627356164637931e+32,5.819745055157756e+32,5.232756816497363e+32,4.9552632766458786e+32,4.86881627544669e+32,5.1762531533268605e+32,3.1156427160891734e+32
GMB,Gambia,1.0090793498079891e+31,1.642985659208659e+31,1.0787896392984317e+31,8.082533259340205e+30,9.681044768093063e+30,8.497021298879227e+30,1.068136990620557e+31,6.128075097639646e+30,8.291429271883553e+30,6.938021846855255e+30,3.853674580175926e+30,8.31559378651369e+30,6.25839165426164e+30,7.848335029116002e+30,4.2685899905580693e+30,8.243243836342868e+30,6.062835247568687e+30,7.051103818218139e+30,8.830615172668885e+30,1.2035190344546907e+31,6.234161541571018e+30
GNB,Guinea-Bissau,5.522010382033549e+31,5.401189732172477e+31,7.230744566170748e+31,6.044858821082295e+31,6.605572763213354e+31,4.964111485756094e+31,7.304608907984112e+31,6.8263063023140745e+31,4.915769355610737e+31,5.799095837780483e+31,6.893187623134154e+31,7.582852872511281e+31,3.3141659474198852e+31,3.821801382535828e+31,4.291515905210642e+31,5.210269211235542e+31,2.951860709539282e+31,3.2094119648538595e+31,3.4848058007569084e+31,4.574521827996339e+31,2.7867146615317654e+31
GNQ,Eq. Guinea,5.787329619047068e+29,5.7847367150093e+29,8.900140233590849e+29,1.0540208582536039e+30,3.0668250733847123e+29,3.9951792785187875e+29,6.982685235186259e+29,2.3884387490466144e+29,5.445052223179961e+29,1.7733159243221325e+30,1.1017703112556834e+30,1.2892781732803647e+30,3.837795674900139e+29,8.760341907275035e+29,1.2180600003849256e+30,1.0839890420861169e+30,1.1571608740860122e+30,1.0263547665434465e+30,1.3593557453201137e+30,1.319839948200159e+30,1.2414297368328107e+30
KEN,Kenya,4.869930570071008e+31,2.4760644302255225e+31,5.243040356605039e+31,4.486119677537846e+31,3.8150750017629525e+31,2.1947946488373374e+31,3.7053740383244864e+31,7.228274392896332e+31,3.6881737069836057e+31,3.0393429629958024e+31,4.6647448082395725e+31,3.198863034196994e+31,2.1232243590322987e+31,1.5977846624546292e+31,3.5647478517837917e+31,3.2180339800650347e+31,3.5824096097039122e+31,1.7115639660772763e+31,2.4652077075363376e+31,2.413993963018144e+31,4.1999460623729735e+31
