ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ERI,Eritrea,3.249061915493671e+29,3.68713425111442e+29,8.346125986078113e+29,8.039079467747451e+29,3.141765354723596e+29,5.2919117251125556e+29,1.6104616161267622e+31,3.64242050837497e+29,2.7552861190411436e+29,4.382016739883559e+29,4.457189446615826e+29,2.7877760646989043e+29,3.2982402498776354e+29,3.6854260057720694e+29,5.149963603600328e+29,8.768425537935006e+29,7.833583115317195e+29,6.549563793819649e+29,8.569809406094345e+29,4.986435319474072e+29,7.057709934152331e+29
ETH,Ethiopia,9.761980475017526e+31,7.473735864721118e+31,9.668499655452368e+31,9.745195631991497e+31,8.555333743939813e+31,6.507806007200559e+31,7.905234729783979e+31,8.183475044406868e+31,7.9574753744211075e+31,6.775129277882201e+31,8.369041743294604e+31,8.460045293652425e+31,7.364438302366142e+31,6.948837551672353e+31,5.398153389909411e+31,4.890027972560701e+31,5.836728379452201e+31,4.274428061161397e+31,5.135930849689174e+31,4.753297461800131e+31,6.020506305704087e+31
GAB,Gabon,3.3500020888717856e+30,2.768678096297221e+30,2.638169020674826e+30,3.198733895218198e+30,1.881927938808301e+30,3.150698208421676e+30,3.8125168796952167e+30,3.0969923846613115e+30,3.353281652811841e+30,2.6404494140331626e+30,2.617593654272339e+30,3.4634096302264855e+30,2.3333682067299302e+30,2.6316284956669956e+30,2.326892367265246e+30,2.865850976003034e+30,2.4812366142629082e+30,2.615717314609087e+30,2.1796077519663947e+30,2.96897021557523e+30,2.6752833877210465e+30
GHA,Ghana,8.474464101617688e+31,7.341593824795684e+31,6.932967996311179e+31,7.645991950705319e+31,7.311822634295066e+31,6.737296410768347e+31,8.748598900434268e+31,5.896983470342465e+31,6.75032122026209e+31,5.912647473554061e+31,6.71590200893884e+31,6.083743735625743e+31,5.891290819705781e+31,5.160976714888e+31,5.055212375333289e+31,5.929738709498945e+31,3.764140923712457e+31,5.244690664287634e+31,3.473702031570917e+31,4.554854889162095e+31,2.984882969658548e+31
GIN,Guinea,1.3070366492773392e+32,1.370711166866224e+32,1.5588874454491422e+32,1.4729861656837283e+32,1.6644095406321517e+32,1.1560455497333436e+32,1.3700197804570187e+32,1.5612052104303333e+32,1.358940343463354e+32,1.3637258020314743e+32,1.3120468519666839e+32,1.9555534500181187e+32,1.1405602523650833e+32,9.442902902832254e+31,1.1045593607729887e+32,9.699575091929595e+31,8.721261360828938e+31,8.258772127743132e+31,8.114693792411153e+31,8.6270885888781e+31,5.192737860148624e+31
GMB,Gambia,1.6817989163466492e+30,2.7383094320144306e+30,1.797982732164053e+30,1.3470888765567007e+30,1.6135074613488438e+30,1.4161702164798712e+30,1.7802283177009286e+30,1.0213458496066076e+30,1.3819048786472586e+30,1.1563369744758762e+30,6.422790966959878e+29,1.3859322977522817e+30,1.0430652757102733e+30,1.3080558381860006e+30,7.114316650930116e+29,1.3738739727238114e+30,1.010472541261448e+30,1.1751839697030235e+30,1.471769195444814e+30,2.0058650574244847e+30,1.0390269235951697e+30
GNB,Guinea-Bissau,9.203350636722583e+30,9.001982886954132e+30,1.2051240943617915e+31,1.0074764701803826e+31,1.1009287938688924e+31,8.273519142926825e+30,1.217434817997352e+31,1.137717717052346e+31,8.192948926017894e+30,9.665159729634139e+30,1.1488646038556925e+31,1.2638088120852134e+31,5.523609912366477e+30,6.369668970893048e+30,7.152526508684406e+30,8.683782018725903e+30,4.919767849232137e+30,5.3490199414231e+30,5.808009667928182e+30,7.624203046660569e+30,4.6445244358862746e+30
GNQ,Eq. Guinea,9.645549365078448e+28,9.641227858348833e+28,1.4833567055984747e+29,1.7567014304226735e+29,5.111375122307855e+28,6.658632130864646e+28,1.1637808725310434e+29,3.980731248411025e+28,9.075087038633269e+28,2.9555265405368876e+29,1.8362838520928056e+29,2.1487969554672747e+29,6.3963261248335675e+28,1.4600569845458393e+29,2.0301000006415425e+29,1.806648403476862e+29,1.9286014568100206e+29,1.710591277572411e+29,2.2655929088668557e+29,2.1997332470002657e+29,2.0690495613880178e+29
KEN,Kenya,8.116550950118349e+30,4.1267740503758714e+30,8.738400594341732e+30,7.476866129229744e+30,6.358458336271589e+30,3.657991081395563e+30,6.175623397207477e+30,1.2047123988160555e+31,6.14695617830601e+30,5.0655716049930037e+30,7.774574680399287e+30,5.331438390328324e+30,3.538707265053832e+30,2.6629744374243824e+30,5.941246419639653e+30,5.363389966775059e+30,5.970682682839854e+30,2.8526066101287946e+30,4.1086795125605634e+30,4.023323271696907e+30,6.999910103954958e+30
LBR,Liberia,3.2605857146809516e+30,8.411803094875182e+30,1.4464456902540737e+31,1.1078348659496833e+31,4.09255360707613e+31,8.131838640601416e+30,9.925011369008479e+30,1.9586518426157801e+31,9.922301184057823e+30,1.7138138708308267e+31,2.8950915357866066e+31,2.1588144071067383e+31,1.5893285850733943e+31,1.0480180456768064e+31,2.605678500252172e+31,1.545979126220017e+31,9.074427068877369e+30,1.2910043614419232e+31,2.1283367191682933e+31,2.126240874209694e+31,1.59971783092355e+31
LSO,Lesotho,4.480113775933189e+29,1.3530792975150983e+29,1.2922662847282887e+30,2.5888813057509368e+29,2.1066127413461965e+29,9.29254785005673e+29,2.615752369070162e+29,7.8682904834223865e+28,8.541559450590147e+29,7.343086446096451e+29,3.215530208240434e+29,1.3782126781576333e+29,2.4005285153774714e+29,2.0249518197715613e+29,7.530659485281414e+29,2.0559091323462435e+29,3.5178062959383875e+29,3.2691864942972244e+29,7.267216636060644e+29,1.0550389371974021e+30,1.2520018806615782e+29
MDG,Madagascar,1.0036132698669193e+32,8.535096148181194e+31,8.990141781850622e+31,7.446175976282727e+31,9.778173726439693e+31,9.502615214179118e+31,9.689262315498725e+31,8.651068809300615e+31,1.0924519957022978e+32,8.823417299170921e+31,8.323799638449186e+31,1.1458803815213953e+32,7.280541242356852e+31,7.39826627173055e+31,6.345862011332218e+31,6.278289205859729e+31,6.3191451654418095e+31,6.621823813395161e+31,6.524457565527326e+31,7.088933831465999e+31,5.316306602382862e+31
MLI,Mali,5.276846235193371e+31,5.051248926402453e+31,4.285782876862354e+31,5.093993824523786e+31,3.949067451924981e+31,4.506486159826038e+31,4.245914409163472e+31,3.552905322007366e+31,4.2450705149765255e+31,3.6127934749259605e+31,3.1800862299488245e+31,4.292982643858163e+31,3.242822227879681e+31,2.5277444232180047e+31,2.8289133997678234e+31,2.8267665630693315e+31,3.436559357501655e+31,3.3380570478543213e+31,3.5101089598751966e+31,3.581155402766959e+31,3.3688642382605826e+31
MOZ,Mozambique,1.9715146362649553e+32,1.911635115546709e+32,2.1113268807466257e+32,2.4700101750608708e+32,1.72578753417781e+32,2.1972305336717547e+32,1.9319583968434944e+32,2.02442449051367e+32,1.960247915427839e+32,2.1412621562529663e+32,2.0525706296607576e+32,1.8582980545135472e+32,1.4969950368773775e+32,1.9397471847029747e+32,1.650025370953676e+32,8.999828984868035e+31,1.5069125171455819e+32,1.4429618514949115e+32,1.3708373521612593e+32,1.381668741989318e+32,1.0975062925732125e+32
MRT,Mauritania,9.118783694229641e+29,1.0618785701413146e+30,2.7192206342627545e+30,1.2767514631248103e+30,1.261707498392702e+30,2.2773965887072808e+30,9.666875383958781e+29,9.989369427767524e+29,1.2789817650634668e+30,6.163966174074952e+29,5.3100751145654166e+29,1.0355868549121459e+30,5.895137986824945e+29,2.6287270579284384e+29,5.61190769980008e+29,4.847837941973391e+29,1.2377205713396471e+30,1.292961469819445e+30,1.5401249211094665e+30,1.226501066222317e+30,1.728386551758097e+30
MUS,Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,Malawi,2.0001116988247125e+31,1.160912269435376e+31,1.4050053699214291e+31,1.6970906699438735e+31,1.2117615850839818e+31,1.6899696691245823e+31,1.6268628645878385e+31,2.0165829207930199e+31,1.5269732520425425e+31,1.3835745495327244e+31,1.6086459411847959e+31,1.511474369054495e+31,9.003520411616592e+30,9.444051228853898e+30,8.673615076269509e+30,7.490119982384708e+30,8.091030690770488e+30,8.733880120573823e+30,8.148157180073786e+30,6.803556449951018e+30,5.592675337566682e+30
NAM,Namibia,2.355643071719734e+31,3.0875836171555107e+31,3.923900580632003e+31,2.484134569715884e+31,4.577638788464822e+31,4.231318365318318e+31,9.000565785247521e+31,9.161530598471484e+31,3.408911757444858e+31,2.5582686663955355e+31,2.224967837935683e+31,1.907029671847628e+31,2.0593785652524227e+31,1.6319773385226505e+31,8.302449982075762e+30,2.3084460898746915e+31,3.0994636478908624e+31,2.1087823749502923e+31,2.4044503334948106e+31,7.802549520753272e+30,1.1184064379416695e+31
NER,Niger,2.0022838451339362e+30,1.3391710789226714e+30,1.4492138253045645e+30,1.8424429662586408e+30,1.0888098624171793e+30,2.4831361547829845e+30,2.1558254840482973e+30,2.591790225505177e+30,1.737165940006444e+30,1.2003637552555885e+30,8.196354969623122e+29,2.2067378083413665e+30,1.676363655684151e+30,1.8082165798271664e+30,1.7845602439190305e+30,1.480924203442241e+30,2.4354260347988426e+30,1.8241668309272616e+30,1.8559539197063373e+30,3.2723462930331623e+30,5.249368224227173e+30
